sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_272,53.9190313,5.3954235,15.874927,202794,775,110239,463,7246,65.3278,0.241,34.2871,0.144,159058,4488,7246,40,93.11,2.63,4.24,0.02,60,1,221539,4640,93338,371,1629,7449,55,2923,3,69.474,1.3978,28.1183,0.1118,0.0166,0.8806,0.0009,41.9857427,5.7242087
s_273,55.165242,4.8692663,16.0414471,131548,3694,104400,1353,10279,56.4432,1.4701,41.5483,0.5385,107449,6973,3929,206,90.63,5.88,3.31,0.17,70,0,146069,7986,93596,1279,2344,3911,94,1560,10,59.3049,3.1092,36.4401,0.498,0.0366,0.6074,0.0039,45.4943755,5.1332285
s_274,51.1572416,5.3630655,18.0059566,374736,3467,270229,903,20355,58.9961,0.5177,40.3514,0.1348,274901,15648,6863,417,92.3,5.25,2.3,0.14,60,0,414980,16627,231729,1259,5095,10389,191,3128,16,62.9873,2.4329,33.9076,0.1842,0.0279,0.4577,0.0023,41.9163135,5.2059417
s_275,48.491232,5.757899,18.7881815,157464,937,152468,390,7828,51.8015,0.2937,47.7826,0.1222,120116,4972,3528,136,93.29,3.86,2.74,0.11,60,0,175836,5295,135337,482,2137,5553,67,1541,3,56.253,1.623,41.4825,0.1477,0.0205,0.4723,0.0009,39.8298004,5.2306686
s_276,45.3392317,5.9353309,20.8813575,135930,851,161615,213,5578,46.5201,0.2798,53.1301,0.07,106374,4808,3671,78,92.55,4.18,3.19,0.07,40,0,157606,5064,139641,269,1607,5294,61,1655,14,52.8603,1.6272,44.8702,0.0864,0.0196,0.5318,0.0045,37.8314446,5.3826351
s_277,47.8667953,5.7779081,19.2811737,114066,1434,126614,1005,4551,47.8932,0.579,51.1221,0.4058,95181,6317,8160,151,86.68,5.75,7.43,0.14,50,0,132008,6769,106663,976,1254,4750,80,3165,4,53.9807,2.6476,41.7192,0.3817,0.0313,1.2379,0.0016,39.451832,5.0549066
s_278,50.343837,5.4256716,18.3409333,81077,495,117954,173,2379,41.2989,0.245,58.3705,0.0856,54635,3054,2111,32,91.31,5.1,3.53,0.05,50,0,93050,3223,105013,164,628,3530,47,1111,4,47.0126,1.5587,50.7873,0.0793,0.0227,0.5373,0.0019,40.1640147,5.3335255
s_279,53.3534365,5.3958529,16.5575857,455400,2747,288056,1217,10248,61.4581,0.3626,38.0188,0.1606,346886,12090,8312,284,94.37,3.29,2.26,0.08,70,0,498233,13034,241710,1419,3272,15304,116,3541,16,66.5438,1.6782,31.1223,0.1827,0.0149,0.4559,0.0021,42.7619062,5.3937692
s_28,52.2842994,5.4692419,16.9029828,238085,1013,151733,455,2813,61.1263,0.257,38.5012,0.1155,153169,4894,3128,75,94.98,3.03,1.94,0.05,60,0,254692,5259,132751,474,923,7257,64,1364,13,65.2617,1.3056,32.9573,0.1177,0.0159,0.3386,0.0032,42.1850147,5.3105289
s_280,50.6830143,5.556757,18.1435466,201520,1847,225114,486,9096,48.0789,0.4216,51.3885,0.1109,149488,9610,3669,230,91.71,5.9,2.25,0.14,50,0,225882,10095,199246,655,2185,6805,100,1381,10,52.6195,2.2616,44.6381,0.1467,0.0224,0.3094,0.0022,40.7255291,5.7352488
